team_name;stadium_name;City;Latitude;Longitude
Arsenal;Emirates Stadium;Londres;51,554867;-0,109112
Bournemouth;Vitality Stadium;Bournemouth;50,735234;-1,838287
Brighton & Hove Albion;Falmer Stadium (AMEX);Brighton;50,861822;-0,083278
Burnley;Turf Moor;Burnley;53,789108;-2,230575
Cardiff City;Cardiff City Stadium;Cardiff;51,47283;-3,20295
Chelsea;Stamford Bridge;Londres;51,481447;-0,190958
Crystal Palace;Selhurst Park;Londres (Croydon);51,398285;-0,085439
Everton;Goodison Park;Liverpool;53,438751;-2,966681
Fulham;Craven Cottage;Londres;51,475;-0,221667
Huddersfield Town;John Smith?s Stadium;Huddersfield;53,654221;-1,769226
Leicester City;King Power Stadium;Leicester;52,62064;-1,14277
Liverpool;Anfield;Liverpool;53,430759;-2,961425
Manchester City;Etihad Stadium;Manchester;53,483135;-2,200941
Manchester United;Old Trafford;Manchester;53,463493;-2,292279
Newcastle United;St. James? Park;Newcastle upon Tyne;54,97517;-1,622539
Southampton;St. Mary?s Stadium;Southampton;50,906052;-1,391692
Tottenham Hotspur;Tottenham/Wembley;Londres;51,555973;-0,279672
Watford;Vicarage Road;Watford;51,649906;-0,402061
West Ham United;London Stadium;Londres (Stratford);51,538811;-0,017136
Wolverhampton Wanderers;Molineux Stadium;Wolverhampton;52,590382;-2,130924
